index,job title,salary estimate,job description,rating,company name,location,headquarters,size,founded,type of ownership,industry,sector,revenue,competitors
18.0,Data Analyst II,$137K-$171K (Glassdoor est.),f0b7cda71424dff1575f3de951f98bd2cb31beaddfc7b503eb59bbd348c51bfb,4.2,af787cf2ff564d0feacdafef0b183f9d6dd847b8db22dba4f52e682a751bf880,"Plano, TX","Tempe, AZ",5.0,1988.0,3.0,Enterprise Software & Network Solutions,Information Technology,7.0,"CDW, PCM, SHI International"
19.0,Medical Lab Scientist,$137K-$171K (Glassdoor est.),808ec32b2301c930828ec0638ae0db05c49934f9956f9b6d8f632a5fc3324d60,3.5,6dc2174289ef953abf3f2e9032ad27279c0d13a7da71516a14085e6d32e0b770,"West Grove, PA","Reading, PA",5.0,2017.0,7.0,Health Care Services & Hospitals,Health Care,13.0,-1
20.0,Data Scientist,$137K-$171K (Glassdoor est.),1325bb54a433056661cf0378a2ebfa689487819a8e8d4af452a0d4bae2d3f9e4,3.2,2035b87b8f255df87636896764240e9213089a3040855eb207049e66f2ebbfd2,"New York, NY","San Francisco, CA",7.0,2015.0,2.0,Computer Hardware & Software,Information Technology,13.0,-1
21.0,Data Scientist/Machine Learning,$137K-$171K (Glassdoor est.),4f1dfa8b00a08055c2ca8a55e34face2fe5d5a7b2ab4cc833d768012bdc6ddee,4.3,ffc2ee4194b061f9b40364b550361ee11b13913ba2d80a1db82ee85b272daad8,"New York, NY","New York, NY",7.0,2011.0,2.0,Internet,Information Technology,4.0,"Crossix Solutions Inc., AppNexus, The Trade Desk"
22.0,Human Factors Scientist,$137K-$171K (Glassdoor est.),2800f881d7476443bc15e2b6d8cc9dcc9eeb6557ff586331bdfb6897be6e3469,3.5,de3c8cba13a0957b6c6a2dc3369571839e53eca16ed7e34d5dfa9f69d8b23bf8,"Phoenix, AZ","Menlo Park, CA",3.0,1967.0,3.0,Consulting,Business Services,4.0,-1
23.0,Business Intelligence Analyst I- Data Insights,$137K-$171K (Glassdoor est.),8aad32b0d92833363698171444123fe11b1eb5eaa8276d7a0c451ec64f0dea7f,3.5,1243f1d0e4bf42937ca98b3c25192c819e78498c6df2c71dd81785a60e2fba4d,"Appleton, WI","New York, NY",5.0,1860.0,2.0,Insurance Carriers,Insurance,7.0,Northwestern Mutual
24.0,Data Scientist,$137K-$171K (Glassdoor est.),3f066d2712784671e8c572469f3ddc76b812108330e12fcd1f7b263dd17d8aac,3.4,642a57af39483f6141a08c82fe79f64ea69c05b2c0366e9407d3458fdcba8bec,"Chicago, IL","Chicago, IL",7.0,1992.0,2.0,Advertising & Marketing,Business Services,2.0,-1
25.0,Data Scientist,$137K-$171K (Glassdoor est.),0c300b127dcd3c3d7a006c4780308c464c051f8682731f9fc47eb1d03a7de6a3,4.7,5dbfad2322f68fd15e341d3668468586964164d35819fad1ca3351fbb346c796,"Atlanta, GA","Atlanta, GA",7.0,2003.0,2.0,Computer Hardware & Software,Information Technology,6.0,-1
26.0,Data Scientist - Risk,$137K-$171K (Glassdoor est.),f2051aa2e55fb4f73632cd532c882eb5a1cb3fb63b9f383d61c8c8830f5a905d,4.2,fbcf1ece37c0154a7f12a902619edc9620c6a1149ae925dc6e834ae7a4498688,"Orlando, FL","Orlando, FL",7.0,1996.0,2.0,Investment Banking & Asset Management,Finance,4.0,-1
27.0,Data Scientist-Human Resources,$137K-$171K (Glassdoor est.),a188565bd2f1de11a1f6a1901cd7083ccdd6212d7c85c729e9c45b08f2482cba,3.8,f28868db6bc64dd66da9772cd48d7034900c1ac81b2ac59d5160a27bf7593cf2,"Lexington, MA","Lexington, MA",3.0,1951.0,7.0,Aerospace & Defense,Aerospace & Defense,13.0,-1
